# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	17463
#@/user_id	51e25a0a-ac6c-40dd-89cd-561e9e93526d
bi zong 	比踪	c=1 d=0.00451658 t=17463
bian 	变	c=1 d=9.50713e-24 t=17463
bian 	边	c=1 d=1.51721e-22 t=17463
bian bai 	变白	c=1 d=4.35887e-26 t=17463
bian cheng 	变成	c=1 d=4.25573e-09 t=17463
bian cheng 	编程	c=5 d=0.0548829 t=17463
bian cheng ji chu 	编程基础	c=1 d=1 t=15629
bian geng 	变更	c=5 d=0.0578443 t=17463
bian hao 	编号	c=2 d=0.0342612 t=17463
bian hua 	变化	c=3 d=1.94444e-19 t=17463
bian ji 	编辑	c=7 d=0.028744 t=17463
bian ji qi 	编辑器	c=1 d=1 t=15355
bian jie 	便捷	c=1 d=1.02759e-26 t=17463
bian kuang 	边框	c=1 d=7.37876e-13 t=17463
bian li 	遍历	c=4 d=0.166861 t=17463
bian liang 	变量	c=15 d=0.0343896 t=17463
bian liao 	边聊	c=1 d=6.732e-22 t=17463
bian ling 	边零	c=1 d=3.71059e-14 t=17463
bian ma 	编码	c=5 d=0.900325 t=17463
bian pang 	变胖	c=1 d=3.39469e-26 t=17463
bian tian 	变天	c=1 d=7.43368e-12 t=17463
bian xie 	便携	c=2 d=0.00013699 t=17463
bian xie 	编写	c=2 d=4.3834e-25 t=17463
bian yi 	编译	c=0 d=0.000198925 t=17463
bian yi hou 	编译后	c=1 d=0.00199922 t=17463
bian zuo 	边做	c=1 d=6.76574e-22 t=17463
biao 	表	c=14 d=0.575061 t=17463
biao da shi 	表达式	c=5 d=0.000143231 t=17463
biao fen qu 	表分区	c=1 d=1.21193e-26 t=17463
biao ming 	表名	c=7 d=5.94839 t=17102
biao ming 	表明	c=3 d=2.98506 t=17016
biao qian 	标签	c=5 d=2.05279e-10 t=17463
biao qing 	表情	c=1 d=0.000156102 t=17463
biao qing bao 	表情包	c=1 d=3.97693e-06 t=17463
biao shi 	标示	c=1 d=1.83943e-23 t=17463
biao shi 	表示	c=8 d=0.400855 t=17463
biao ti 	标题	c=1 d=4.64844e-18 t=17463
biao ti lan 	标题栏	c=1 d=7.00435e-18 t=17463
biao zhi 	标志	c=5 d=0.0135696 t=17463
biao zhi wei 	标志位	c=4 d=0.0116152 t=17463
biao zhong 	表中	c=1 d=7.5486e-17 t=17463
bie 	别	c=8 d=0.903125 t=17463
bie da si 	别打死	c=1 d=0.00351752 t=17463
bie de 	别的	c=4 d=0.0136524 t=17463
bie de shi 	别的事	c=1 d=1.39937e-12 t=17463
bie duo 	别多	c=0 d=0.0794534 t=17463
bie duo xiang le 	别多想了	c=1 d=0.798516 t=17463
bie gan jue 	别感觉	c=1 d=1.38568e-14 t=17463
bie jie yi 	别介意	c=1 d=0.00878245 t=17463
bie luan 	别乱	c=0 d=0.0540641 t=17463
bie luan xiang 	别乱想	c=2 d=1.48983 t=17463
bie mai 	别买	c=1 d=2.65018e-25 t=17463
bie ming 	别名	c=3 d=0.0368832 t=17463
bie nan guo 	别难过	c=1 d=0.486752 t=17463
bie pa 	别怕	c=1 d=2.92134e-24 t=17463
bie rang 	别让	c=1 d=4.87167e-11 t=17463
bie rang ta 	别让她	c=1 d=0.763379 t=17463
bie ren 	别人	c=3 d=0.00802655 t=17463
bie shui 	别睡	c=2 d=8.28985e-22 t=17463
bie tan xiao pian yi 	别贪小便宜	c=1 d=0.551563 t=17463
bie ti 	别提	c=1 d=2.13015e-14 t=17463
bie ti le 	别提了	c=1 d=6.61127e-15 t=17463
bie wang le 	别忘了	c=1 d=8.02792e-05 t=17463
bie zai 	别再	c=1 d=0.367879 t=17463
bing 	并	c=11 d=0.761781 t=17463
bing bu 	并不	c=1 d=3.72336e-25 t=17463
bing bu pang 	并不胖	c=1 d=3.84538e-22 t=17463
bing chuang jian 	并创建	c=1 d=1.8727e-28 t=17463
bing du 	病毒	c=1 d=1.29424e-05 t=17463
bing du ku 	病毒库	c=2 d=9.56223e-09 t=17463
bing fa 	并发	c=9 d=0.00317957 t=17463
bing fan hui 	并返回	c=1 d=0.000765486 t=17463
bing le 	病了	c=1 d=0.0149956 t=17463
bing mei 	并没	c=0 d=7.78511e-27 t=17463
bing mei you 	并没有	c=1 d=1.94615e-10 t=17463
bing qie 	并且	c=4 d=2.07558 t=15787
bing ren 	病人	c=2 d=5.26289e-08 t=17463
bing xing 	并行	c=1 d=1.09604e-20 t=17463
bo hui 	驳回	c=2 d=8.29068e-23 t=17463
bo ke 	博客	c=2 d=0.00139481 t=17463
bu 	不	c=40 d=0.909654 t=17463
bu 	补	c=1 d=0.367135 t=15793
bu a 	不阿	c=0 d=7.98355e-29 t=17463
bu ai 	不爱	c=2 d=2.74747e-08 t=17463
bu ba ni 	不把你	c=1 d=1.27428e-28 t=17463
bu ban 	不办	c=1 d=1 t=16476
bu bang ni 	不帮你	c=1 d=9.08261e-16 t=17463
bu bao han 	不包含	c=1 d=0.000432902 t=17463
bu bi 	不必	c=2 d=0.000370744 t=17463
bu bi yao 	不必要	c=1 d=1.37451e-07 t=17463
bu bu 	补补	c=1 d=6.51506e-19 t=17463
bu chang jian 	不常见	c=1 d=1.77895e-12 t=17463
bu chi 	不迟	c=1 d=1 t=17276
bu chi yao 	不吃药	c=1 d=5.24289e-22 t=17463
bu chong 	补充	c=1 d=5.41377e-17 t=17463
bu chuan 	不传	c=1 d=0.00172074 t=17463
bu chuan ru 	不传入	c=1 d=0.000378233 t=17463
bu cun 	不存	c=1 d=3.0754e-11 t=17463
bu cun zai 	不存在	c=4 d=0.00551656 t=17463
bu cuo 	不错	c=1 d=1.80117e-11 t=17463
bu cuo bu cuo 	不错不错	c=1 d=4.56663e-15 t=17463
bu da 	不大	c=0 d=8.29664e-11 t=17463
bu da you xi 	不大游戏	c=1 d=8.33823e-10 t=17463
bu dao 	不到	c=3 d=0.0992613 t=17463
bu ding 	补丁	c=4 d=2.22436e-08 t=17463
bu dong 	不懂	c=1 d=5.60852e-21 t=17463
bu dou 	不斗	c=1 d=2.25059e-14 t=17463
bu dui 	不对	c=6 d=0.119433 t=17463
bu dui jin 	不对劲	c=1 d=0.631284 t=17463
bu duo de 	不多的	c=1 d=6.22203e-07 t=17463
bu fa sheng 	不发生	c=1 d=4.053e-23 t=17463
bu gan 	不敢	c=0 d=1.41026e-16 t=17463
bu gan dang 	不敢当	c=2 d=9.16082e-21 t=17463
bu gan mai 	不敢买	c=1 d=1.41733e-15 t=17463
bu gan shuo sha 	不敢说啥	c=1 d=2.46463e-24 t=17463
bu gao su 	不告诉	c=1 d=3.33325e-17 t=17463
bu gei 	不给	c=1 d=3.88447e-21 t=17463
bu gei wo 	不给我	c=2 d=5.89206e-13 t=17463
bu gen ta 	不跟他	c=1 d=6.03383e-28 t=17463
bu geng xin 	不更新	c=2 d=1.99005 t=15188
bu gou 	不够	c=2 d=1.81927e-11 t=17463
bu gou hua 	不够花	c=1 d=6.04945e-29 t=17463
bu gui 	不贵	c=0 d=1.16583e-12 t=17463
bu gui a 	不贵啊	c=1 d=1.17168e-11 t=17463
bu guo 	不过	c=4 d=8.67652e-06 t=17463
bu guo qu 	不过去	c=0 d=3.44072e-09 t=17463
bu hao 	不好	c=3 d=0.0191587 t=17463
bu hao kan 	不好看	c=2 d=7.00582e-20 t=17463
bu hao shi 	不好使	c=1 d=1.45296e-13 t=17463
bu hao shi 	不好时	c=1 d=1.44572e-13 t=17463
bu hao yi si 	不好意思	c=1 d=1.46757e-13 t=17463
bu hao yong 	不好用	c=2 d=1.48404e-19 t=17463
bu hao zhao 	不好找	c=1 d=2.86252e-20 t=17463
bu he 	不合	c=0 d=4.28886e-13 t=17463
bu he jiu 	不喝酒	c=1 d=9.60431e-26 t=17463
bu he ni 	不合你	c=1 d=4.31036e-12 t=17463
bu hong 	不哄	c=1 d=6.01109e-13 t=17463
bu huan 	不换	c=1 d=0.00516939 t=17463
bu huan ying 	不欢迎	c=1 d=0.0306538 t=17463
bu hui 	不会	c=8 d=0.220001 t=17463
