# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3184
#@/user_id	30b2fdae-cf15-49c1-b454-51f04700fdbe
dian nao 	電腦	c=4 d=0.0420687 t=3184
dian yuan 	電源	c=2 d=4.95878e-06 t=3184
diao 	掉	c=1 d=0.0500366 t=3184
diao cha 	調查	c=1 d=0.0224283 t=3184
diao jie fa 	調節閥	c=0 d=0.000260102 t=3184
diao yong 	調用	c=2 d=0.815801 t=3184
ding liang fen kuai 	定量分塊	c=0 d=0.000123708 t=3184
ding yi 	定義	c=2 d=0.000257736 t=3184
diu shi 	丟失	c=1 d=0.00357068 t=3184
dong 	動	c=2 d=0.00897402 t=3184
dong 	懂	c=1 d=0.0160027 t=3184
dong 	董	c=1 d=5.65718e-05 t=3184
dong fang hong 	東方紅	c=1 d=2.07078e-05 t=3184
dong guan 	東莞	c=2 d=0.00140522 t=3184
dong guan shi 	東莞市	c=1 d=0.000841774 t=3184
dong xi 	東西	c=2 d=0.0085046 t=3184
dong zao 	冬棗	c=1 d=6.44256e-05 t=3184
dou 	都	c=3 d=0.0539714 t=3184
dou fang dao 	都放到	c=1 d=0.540641 t=3184
dou ke yi 	都可以	c=1 d=4.65493e-05 t=3184
dou lian 	都連	c=1 d=1.41613e-05 t=3184
dou neng 	都能	c=1 d=4.06708e-05 t=3184
dou yao 	都要	c=2 d=0.636256 t=3184
dou yao gai 	都要改	c=1 d=0.00323089 t=3184
dou yong 	都用	c=0 d=0.00152985 t=3184
dou yong bu le 	都用不了	c=1 d=0.0153752 t=3184
dou zai 	都在	c=1 d=0.0301973 t=3184
dou zhuan huan 	都轉換	c=1 d=1.76917e-06 t=3184
du yin 	讀音	c=1 d=0.000761668 t=3184
duan 	端	c=1 d=0.00246639 t=3184
dui 	對	c=5 d=0.783308 t=3184
dui ba 	對吧	c=1 d=0.245367 t=3184
dui de 	對的	c=1 d=0.00453922 t=3184
dui fang 	對方	c=14 d=5.21791 t=3184
dui fang hang hao 	對方行號	c=7 d=2.81126 t=3184
dui ke 	對客	c=2 d=0.226312 t=3184
dui ke li lv qu fen 	對客利率區分	c=1 d=0.103312 t=3184
dui ni 	對你	c=1 d=0.0277367 t=3184
dui wo 	對我	c=1 d=0.0281559 t=3184
dui xiang 	對象	c=2 d=0.303951 t=3184
dui yu 	對於	c=1 d=0.00210172 t=3184
duo kuai 	多塊	c=0 d=2.94809e-07 t=3184
duo ma 	多嗎	c=1 d=1.50758e-06 t=3184
duo qian 	多錢	c=1 d=0.276651 t=3184
duo shao 	多少	c=2 d=0.164914 t=3184
duo yin zi 	多音字	c=6 d=0.00148271 t=3184
e 	額	c=1 d=0.778832 t=3184
e zhou shi 	鄂州市	c=2 d=0.000846862 t=3184
en 	恩	c=18 d=1.94394 t=3184
en en 	嗯嗯	c=3 d=0.000874892 t=3184
en shi 	恩施	c=0 d=4.11789e-05 t=3184
en shi tu jia miao zu 	恩施塗家苗族	c=1 d=0.000413853 t=3184
er 	二	c=1 d=0.055299 t=3184
er tong 	兒童	c=0 d=0.000400585 t=3184
fa 	法	c=1 d=0.729789 t=3184
fa 	發	c=2 d=0.726164 t=3184
fa bu 	發佈	c=4 d=0.0533372 t=3184
fa diao 	發掉	c=1 d=2.82336e-05 t=3184
fa ge 	發個	c=1 d=6.42701e-06 t=3184
fa lai 	發來	c=1 d=2.50409e-05 t=3184
fa lv 	法律	c=0 d=2.87242e-06 t=3184
fa lv sa dan fa 	法律撒旦發	c=1 d=1.89255e-05 t=3184
fa ni 	發你	c=1 d=0.0853013 t=3184
fa sheng 	發生	c=0 d=3.79517e-06 t=3184
fa wo 	發我	c=1 d=0.268474 t=3184
fa xian 	發現	c=1 d=0.0584256 t=3184
fan 	飯	c=0 d=0.0506617 t=3184
fan jiu zai 	飯就在	c=1 d=0.509156 t=3184
fan kang jun 	反抗軍	c=0 d=0.0755784 t=3184
fan nao 	煩惱	c=1 d=2.4059e-05 t=3184
fan wei 	範圍	c=1 d=0.00603608 t=3184
fan zheng 	反正	c=1 d=3.28027e-05 t=3184
fang 	放	c=0 d=0.000272578 t=3184
fang dao 	放到	c=0 d=0.0537944 t=3184
fang fa 	方法	c=6 d=1.43362 t=3184
fang hao le 	放好了	c=1 d=0.00273945 t=3184
fang li 	方力	c=1 d=0.941764 t=3184
fang shi 	方式	c=1 d=0.000174254 t=3184
fang wen 	訪問	c=1 d=4.67826e-05 t=3184
fang zi 	房子	c=1 d=0.209088 t=3184
fang zu 	房租	c=1 d=0.202909 t=3184
fei lun hai 	飛輪海	c=0 d=0.000115345 t=3184
fei qi 	廢棄	c=2 d=0.465981 t=3184
fen bie 	分別	c=1 d=0.00209124 t=3184
fen ge 	分割	c=1 d=0.000225994 t=3184
fen ge fu 	分隔符	c=1 d=0.000159256 t=3184
fen hang 	分行	c=2 d=0.00652492 t=3184
fen hang hao 	分行號	c=2 d=0.0352831 t=3184
fen qi 	分期	c=2 d=0.891366 t=3184
fen tou 	分頭	c=1 d=0.00147367 t=3184
feng jian shi dai 	封建時代	c=0 d=0.0755784 t=3184
fu 	符	c=1 d=0.00035022 t=3184
fu hao 	符號	c=2 d=0.000187887 t=3184
fu jin 	附近	c=0 d=3.87904e-06 t=3184
fu kuan 	付款	c=1 d=9.63604e-06 t=3184
fu li ji suan 	複利計算	c=0 d=0.000120052 t=3184
fu shou jiu fan 	俯首就範	c=0 d=0.000120052 t=3184
fu wu qi 	服務器	c=1 d=0.206515 t=3184
fu zhi 	複製	c=2 d=0.00183088 t=3184
fu zhi 	賦值	c=2 d=0.334616 t=3184
fu zhou 	福州	c=1 d=5.31488e-06 t=3184
ga li 	咖喱	c=0 d=0.000241416 t=3184
ga shi 	伽師	c=1 d=0.0013039 t=3184
gai 	改	c=4 d=0.0229946 t=3184
gai 	該	c=1 d=0.000420107 t=3184
gai de 	改得	c=1 d=0.00895987 t=3184
gai de 	改的	c=1 d=0.301194 t=3184
gai gai 	改改	c=1 d=0.932393 t=3184
gai le 	改了	c=1 d=0.0241143 t=3184
gai quan 	改全	c=1 d=0.00451658 t=3184
gai yi 	該以	c=1 d=0.000668818 t=3184
gan cai 	乾菜	c=0 d=0.0229925 t=3184
gan cai shi 	乾菜時	c=1 d=0.231078 t=3184
gan de 	乾的	c=1 d=3.41414e-05 t=3184
gan jin 	趕緊	c=1 d=3.38017e-05 t=3184
gan jue 	感覺	c=2 d=0.00142934 t=3184
gan mao 	感冒	c=0 d=3.31323e-06 t=3184
gan mao le 	感冒了	c=1 d=3.44845e-05 t=3184
gang cai 	剛纔	c=2 d=0.0578483 t=3184
gang cai shi 	剛纔是	c=1 d=0.232236 t=3184
gang cai zen mo hui shi 	剛纔怎莫回事	c=1 d=3.40591e-06 t=3184
gang kai shi 	剛開始	c=1 d=0.0126513 t=3184
gao 	高	c=1 d=0.990049 t=3184
gao de 	搞得	c=0 d=6.28349e-06 t=3184
gao de di tu 	搞得地圖	c=1 d=6.31499e-05 t=3184
gao liang 	高亮	c=2 d=0.00417305 t=3184
gao qing 	高清	c=2 d=0.0233112 t=3184
ge 	個	c=7 d=1.11455 t=3184
ge bi 	隔壁	c=0 d=8.10861e-06 t=3184
ge ge 	各個	c=2 d=0.000429034 t=3184
gei 	給	c=5 d=0.393979 t=3184
gei ni 	給你	c=6 d=1.43507 t=3184
gei wo 	給我	c=1 d=0.0714361 t=3184
gei wo kan kan 	給我看看	c=1 d=0.425283 t=3184
gen 	跟	c=6 d=1.02042 t=3184
gen bu shang 	跟不上	c=1 d=0.0130366 t=3184
gen hao 	根號	c=1 d=3.01297e-05 t=3184
gen ju 	根據	c=3 d=0.888411 t=3184
gen ni 	跟你	c=2 d=0.0293099 t=3184
gen wo 	跟我	c=2 d=0.0135832 t=3184
geng gai 	更改	c=7 d=0.258494 t=3184
geng huan 	更換	c=2 d=0.272532 t=3184
geng xin 	更新	c=4 d=0.915773 t=3184
gong cheng 	工程	c=0 d=0.0985112 t=3184
gong jing ai 	宮頸癌	c=0 d=0.000122477 t=3184
gong ju 	工具	c=6 d=0.143926 t=3184
gong neng 	功能	c=1 d=0.00252882 t=3184
gong si 	公司	c=1 d=0.29671 t=3184
gong tong 	共通	c=11 d=3.8253 t=3184
gong yu 	公寓	c=1 d=0.0250914 t=3184
gong yu shi 	公寓式	c=1 d=0.226503 t=3184
gong zi 	工資	c=1 d=0.000102054 t=3184
gong zuo 	工作	c=1 d=0.00192666 t=3184
gong zuo biao 	工作表	c=1 d=0.000242381 t=3184
gong zuo bu 	工作簿	c=1 d=0.000246044 t=3184
gou 	狗	c=1 d=0.000119104 t=3184
gou jian 	構建	c=1 d=0.0746458 t=3184
gou wu che 	購物車	c=1 d=0.0133665 t=3184
gu ding 	估定	c=2 d=1.03629 t=3184
gu ding 	固定	c=1 d=0.522046 t=3184
guan bi 	關閉	c=1 d=0.00251622 t=3184
